county,year,source,target,units,value
Hall,2022,Coal,industrial,EJ,1.3408432145194687e-4
Henry,2022,Coal,industrial,EJ,1.5637634477151763e-4
Paulding,2022,Coal,industrial,EJ,1.125422231118283e-4
Rockdale,2022,Coal,industrial,EJ,5.9777577053377745e-5
Bartow,2023,Coal,industrial,EJ,4.80294442620281e-5
Cherokee,2023,Coal,industrial,EJ,1.1999027334299674e-4
Clayton,2023,Coal,industrial,EJ,1.2506027312563357e-4
Cobb,2023,Coal,industrial,EJ,3.263347112296411e-4
Coweta,2023,Coal,industrial,EJ,6.527838807224809e-5
DeKalb,2023,Coal,industrial,EJ,3.2083695501811577e-4
Douglas,2023,Coal,industrial,EJ,6.24094123363043e-5
Fayette,2023,Coal,industrial,EJ,5.167247533266959e-5
Forsyth,2023,Coal,industrial,EJ,1.1468174922354805e-4
Fulton,2023,Coal,industrial,EJ,4.5280816794797965e-4
Gwinnett,2023,Coal,industrial,EJ,4.142227835925062e-4
Hall,2023,Coal,industrial,EJ,9.116893075396913e-5
Henry,2023,Coal,industrial,EJ,1.064938060959659e-4
Paulding,2023,Coal,industrial,EJ,7.666823845318044e-5
Rockdale,2023,Coal,industrial,EJ,4.021202843173513e-5
Bartow,2024,Coal,industrial,EJ,5.0937189222527957e-5
Cherokee,2024,Coal,industrial,EJ,1.272315690869715e-4
Clayton,2024,Coal,industrial,EJ,1.2904784391798213e-4
Cobb,2024,Coal,industrial,EJ,3.4138077514663873e-4
Coweta,2024,Coal,industrial,EJ,6.859060031868695e-5
DeKalb,2024,Coal,industrial,EJ,3.339115074585377e-4
Douglas,2024,Coal,industrial,EJ,6.583974588489382e-5
Fayette,2024,Coal,industrial,EJ,5.423119219170444e-5
Forsyth,2024,Coal,industrial,EJ,1.2141558832141805e-4
Fulton,2024,Coal,industrial,EJ,4.7264499453262974e-4
Gwinnett,2024,Coal,industrial,EJ,4.3515560819373935e-4
Hall,2024,Coal,industrial,EJ,9.612168553757585e-5
Henry,2024,Coal,industrial,EJ,1.1240747202947746e-4
Paulding,2024,Coal,industrial,EJ,8.17319339169965e-5
Rockdale,2024,Coal,industrial,EJ,4.231183442838747e-5
Bartow,2020,Biomass,transport,EJ,3.875156683466743e-4
Cherokee,2020,Biomass,transport,EJ,9.505921942248909e-4
Clayton,2020,Biomass,transport,EJ,0.0010614400868060863
Cobb,2020,Biomass,transport,EJ,0.0027166365149836657
Coweta,2020,Biomass,transport,EJ,5.202240372013572e-4
DeKalb,2020,Biomass,transport,EJ,0.0027104225673742245
Douglas,2020,Biomass,transport,EJ,5.128474114311078e-4
Fayette,2020,Biomass,transport,EJ,4.236402205930035e-4
