county,year,Single Family,Multifamily,Residential,Commercial,Institutional,Industrial,Municipal,Irrigation,Agricultural,Other,Self Supplied,New Commercial,Anheuser-Busch,NRW
Cobb,2020,37.24575076,10.67004819,,17.17871356,2.18856471,1.342468216,0.000492032,2.671394661,,0.001871437,,0.002003502,,6.750554578
Cobb,2021,37.69726091,10.79939543,,17.38696184,2.2150955,1.358742234,0.000497997,2.703778538,,0.001894124,,0.00202779,,6.83238791
Cobb,2022,38.16777895,10.93418799,,17.60397705,2.242743195,1.375701363,0.000504213,2.737525727,,0.001917765,,0.0020531,,6.917666302
Cobb,2023,38.63454377,11.06790534,,17.81926118,2.270170351,1.392525214,0.000510379,2.771003722,,0.001941218,,0.002078208,,7.002264447
Cobb,2024,39.09285244,11.1992002,,18.03064512,2.297100623,1.409044274,0.000516433,2.803875212,,0.001964246,,0.002102861,,7.085329967
Cobb,2025,39.52740981,11.32369086,,18.23107434,2.322635265,1.424707255,0.000522174,2.835043177,,0.001986081,,0.002126236,,7.164090717
Cobb,2026,39.91278712,11.43409257,,18.40882042,2.345280081,1.438597612,0.000527265,2.862683776,,0.002005444,,0.002146966,,7.233937895
Cobb,2027,40.30507829,11.54647494,,18.58975536,2.368331157,1.452737169,0.000532447,2.890820262,,0.002025155,,0.002168068,,7.305038164
Cobb,2028,40.69410987,11.65792351,,18.76918689,2.391190698,1.466759239,0.000537587,2.918722958,,0.002044703,,0.002188995,,7.375547655
Cobb,2029,41.06270211,11.76351668,,18.93919126,2.412849222,1.480044604,0.000542456,2.945159675,,0.002063223,,0.002208822,,7.442352647
Cobb,2030,41.45289125,11.87529687,,19.11915669,2.435776782,1.494108397,0.00054761,2.973145396,,0.002082828,,0.002229811,,7.513071937
Cobb,2031,41.77729676,11.96823156,,19.26878099,2.454838887,1.505801115,0.000551896,2.996412886,,0.002099128,,0.002247261,,7.571868364
Cobb,2032,42.12943017,12.06910966,,19.43119412,2.475530289,1.518493245,0.000556548,3.021669118,,0.002116821,,0.002266203,,7.635690299
Cobb,2033,42.52031816,12.18109005,,19.61148187,2.498498913,1.532582227,0.000561712,3.049704962,,0.002136462,,0.002287229,,7.70653625
Cobb,2034,42.86292513,12.27923904,,19.76950117,2.518630539,1.544930991,0.000566238,3.074277925,,0.002153676,,0.002305658,,7.768631578
Cobb,2035,43.14920608,12.36125193,,19.90154142,2.535452441,1.555249566,0.000570019,3.09481099,,0.00216806,,0.002321058,,7.820518173
Cobb,2036,43.46324703,12.45121741,,20.04638531,2.553905524,1.566568709,0.000574168,3.117335097,,0.00218384,,0.00233795,,7.877436089
Cobb,2037,43.73878938,12.53015394,,20.17347264,2.570096426,1.576500227,0.000577808,3.137097952,,0.002197684,,0.002352772,,7.927376382
Cobb,2038,44.00159736,12.60544236,,20.29468655,2.585539053,1.585972754,0.00058128,3.155947454,,0.002210889,,0.002366909,,7.975008651
Cobb,2039,44.26674459,12.68140092,,20.41697938,2.601119136,1.595529595,0.000584783,3.174964734,,0.002224212,,0.002381172,,8.023064894
Cobb,2040,44.54270125,12.76045614,,20.54425781,2.617334382,1.605476046,0.000588428,3.194757305,,0.002238078,,0.002396016,,8.073080277
Cobb,2041,44.80744875,12.83630019,,20.66636627,2.632890976,1.61501848,0.000591926,3.213745915,,0.00225138,,0.002410257,,8.12106407
Cobb,2042,45.0391749,12.90268438,,20.77324443,2.646507232,1.623370707,0.000594987,3.23036612,,0.002263023,,0.002422722,,8.163062957
Cobb,2043,45.25220123,12.96371151,,20.87149774,2.659024684,1.631048927,0.000597801,3.245645108,,0.002273727,,0.002434181,,8.201672619
Cobb,2044,45.43106122,13.01495077,,20.95399264,2.669534518,1.637495672,0.000600164,3.258473569,,0.002282714,,0.002443802,,8.234089851
Cobb,2045,45.61212867,13.06682242,,21.03750568,2.680174063,1.644021982,0.000602556,3.271460356,,0.002291812,,0.002453542,,8.266907171
Cobb,2046,45.7872407,13.11698798,,21.11827192,2.690463667,1.650333637,0.000604869,3.284019999,,0.00230061,,0.002462961,,8.298645108
Cobb,2047,45.96786083,13.16873148,,21.20157865,2.701076927,1.656843824,0.000607255,3.296974702,,0.002309686,,0.002472677,,8.331381354
Cobb,2048,46.14482299,13.21942705,,21.28319822,2.711475244,1.663222164,0.000609593,3.309667043,,0.002318577,,0.002482196,,8.363454615
Cobb,2049,46.3173981,13.26886584,,21.36279437,2.721615778,1.669442379,0.000611873,3.322044729,,0.002327248,,0.002491479,,8.394732752
Cobb,2050,46.46494486,13.31113458,,21.43084679,2.730285643,1.674760485,0.000613822,3.332627296,,0.002334662,,0.002499416,,8.421474662
Cobb,2051,46.6529584,13.36499612,,21.51756355,2.741333341,1.681537156,0.000616306,3.34611228,,0.002344109,,0.00250953,,8.455550915
Cobb,2052,46.87762755,13.42935865,,21.62118683,2.754534927,1.689635025,0.000619273,3.362226332,,0.002355397,,0.002521615,,8.496270764
Cobb,2053,47.08704387,13.48935159,,21.71777511,2.766840254,1.697183127,0.00062204,3.377246398,,0.00236592,,0.00253288,,8.534226135
Cobb,2054,47.29548814,13.54906607,,21.81391506,2.779088464,1.704696194,0.000624794,3.392196746,,0.002376393,,0.002544092,,8.572005329
Cobb,2055,47.48999244,13.60478706,,21.90362552,2.79051756,1.711706815,0.000627363,3.40614727,,0.002386166,,0.002554555,,8.607257993
