county,geoid,geoidfq,tract,pop,median_age,land_km2,water_km2,water_share,pop_density,housing_units,housing_occupied,housing_vacant,hu_density,vacancy_rate,persons_per_hh,median_hh_income,income_per_capita,poverty_universe,poverty_below,poverty_rate,commuters,commute_drove_alone,commute_transit,commute_wfh,mean_commute_min,drove_alone_share,transit_share,wfh_share
Coweta,13077170607,1400000US13077170607,170607,4160,48.3,4.638204,0.376546,0.07508769131063363,896.8988858618552,1635,1601,34,352.5071342269551,0.020795107033639144,2.6,114279,50540,4160,103,0.024759615384615383,1825,1222,0,381,25.346260387811633,0.6695890410958905,0,0.20876712328767122
Coweta,13077170701,1400000US13077170701,170701,4324,34.5,5.213516,0.017344,0.0033157071686108976,829.3827044934742,1763,1713,50,338.1595069431071,0.02836074872376631,2.48,78882,36209,4240,723,0.1705188679245283,1963,1594,0,185,31.006749156355454,0.8120224146714213,0,0.09424350483953133
Coweta,13077170702,1400000US13077170702,170702,2882,40.4,32.292377,0.108558,0.0033504588679308172,89.24706905286037,1179,1092,87,36.510164612533785,0.0737913486005089,2.63,65217,29857,2876,446,0.15507649513212796,1531,1004,31,32,30.823882588392262,0.6557805355976486,0.020248203788373612,0.020901371652514697
Coweta,13077170801,1400000US13077170801,170801,5121,37.9,138.927675,0.976247,0.006977981646575998,36.86090622332807,2135,1871,264,15.367708413748378,0.12365339578454333,2.74,85609,33655,5097,437,0.08573670786737296,2756,2337,0,90,31.69542385596399,0.8479680696661829,0,0.03265602322206096
Coweta,13077170802,1400000US13077170802,170802,5939,39.7,118.81795,1.028342,0.008580507438644826,49.98403019072455,2192,2184,8,18.448391004894464,0.0036496350364963502,2.72,92419,43927,5939,298,0.05017679744064658,2802,2193,7,321,34.53244659411528,0.7826552462526767,0.0024982155603140615,0.1145610278372591
DeKalb,13089020100,1400000US13089020100,020100,2198,34,1.076423,0.010515,0.009673964844360948,2041.9481932288702,773,730,43,718.1191780554672,0.055627425614489,3.01,160500,75696,2198,205,0.09326660600545951,1020,574,89,256,27.964659685863875,0.5627450980392157,0.08725490196078431,0.25098039215686274
DeKalb,13089020200,1400000US13089020200,020200,1960,42,1.528193,0,0,1282.5605142805916,1166,1080,86,762.9926324750867,0.07375643224699828,1.78,105000,89635,1960,194,0.09897959183673469,1296,718,12,378,23.15904139433551,0.5540123456790124,0.009259259259259259,0.2916666666666667
DeKalb,13089020300,1400000US13089020300,020300,4504,36.2,1.917766,0,0,2348.5659877169583,1633,1556,77,851.5116025625649,0.04715248009797918,2.87,161855,82473,4504,288,0.06394316163410302,2372,1317,205,648,26.36890951276102,0.5552276559865092,0.08642495784148398,0.27318718381112983
DeKalb,13089020400,1400000US13089020400,020400,2709,37.4,1.012309,0,0,2676.060372870339,1349,1204,145,1332.5970627545544,0.10748702742772424,2.25,176250,89082,2700,66,0.024444444444444446,1688,1031,29,462,30.456769983686787,0.610781990521327,0.017180094786729858,0.273696682464455
DeKalb,13089020500,1400000US13089020500,020500,3688,36.3,1.686258,0,0,2187.091180590396,1894,1763,131,1123.1970433943086,0.06916578669482576,2.09,83594,61096,3688,255,0.06914316702819957,2527,1652,114,559,27.89380081300813,0.6537396121883656,0.045112781954887216,0.22121092204194698
